AI Peptide Research Protocols,"Educational peptide assistant giving verified, neutral research protocols",community builder,4.8,90+,10K+,Research,"Web Search, Canvas, 4o Image Generation, Code Interpreter & Data Analysis",https://chatgpt.com/g/g-68867cb95e00819192645d49770606de-ai-peptide-research-protocols
Asesor Legal de Argentina,Confección de escritos y consultas de todas las ramas del derecho argentino. No asesora profesionalmente.,Cicerchia Fernando,4.1,70+,10K+,Productivity,"Web Search, Canvas, Code Interpreter & Data Analysis",https://chatgpt.com/g/g-QUlgI0ox2-asesor-legal-de-argentina
"California Legal, Law & Contracts (no real lawyer)","Legal information assistant for California. Provides general information on California law and explains legal concepts, but does not replace consultation with a licensed attorney. Los Angeles, San Diego, San Jose, San Francisco.",ailegalalliance.com,4.6,100+,10K+,,"DALL·E Images, Web Search, Canvas",https://chatgpt.com/g/g-67c4cdb4cad48191aa11e2ba211364f5-california-legal-law-contracts-no-real-lawyer
"Texas Legal, Law & Contracts (no real lawyer)","Legal information assistant for Texas. Provides general information on Texas law and explains legal concepts, but does not replace consultation with a licensed attorney. Dallas, Fort Worth, Austin, El Paso.",ailegalalliance.com,4.4,70+,10K+,,"DALL·E Images, Web Search, Canvas",https://chatgpt.com/g/g-67c4cf0bee048191912e844c1874aec5-texas-legal-law-contracts-no-real-lawyer
"Florida Legal, Law & Contracts (no real lawyer)","Legal information assistant for Florida. Provides general information on Florida law and explains legal concepts, but does not replace consultation with a licensed attorney. Jacksonville, Miami, Tampa, Orlando.",ailegalalliance.com,4.7,50+,10K+,,"DALL·E Images, Web Search, Canvas",https://chatgpt.com/g/g-67c4cfd70de481919d2a2ea67b84e7bc-florida-legal-law-contracts-no-real-lawyer
Jenni.AI - Academic Writing Assistant,A scientific research writing assistant modeled after Jenni.ai with high-lexical academic tone,Peter Oyefolu,4.4,300+,10K+,Writing,"Web Search, Canvas, 4o Image Generation, Code Interpreter & Data Analysis",https://chatgpt.com/g/g-6812f1791a0c81919f66d2cc4e1f74ab-jenni-ai-academic-writing-assistant
Novel Writing Master (Jan2026),"A masterful novel-writing assistant providing comprehensive support, from brainstorming and character development to writing, editing, and world-building. (Updated Dec 14, 2025)",Joshua Roberts,4.4,600+,10K+,Writing,"Web Search, Code Interpreter & Data Analysis, Canvas, DALL·E Images, 4o Image Generation",https://chatgpt.com/g/g-nRSsRX7XY-novel-writing-master-jan2026
News Article Writing,Writing and Editing News Articles using the ABCs of Journalism,Isaac March,4.1,100+,10K+,Writing,"Web Search, Canvas, Code Interpreter & Data Analysis, DALL·E Images, 4o Image Generation",https://chatgpt.com/g/g-RBAwYZyRW-news-article-writing
Social Work Writing Assistant,Assists social workers in writing polished reports.,Mark Crawford,4.6,100+,10K+,,"Web Search, DALL·E Images, Code Interpreter & Data Analysis",https://chatgpt.com/g/g-fKAodY8Nh-social-work-writing-assistant
Executive Writing,"Clear, concise executive writing for quick comprehension.",Daniel Carpenter,4.3,100+,10K+,Writing,,https://chatgpt.com/g/g-SToNeBHQr-executive-writing
OET Writing Coach,Paste your writing task in and send. or ask for specific help you need! https://ko-fi.com/dr_sriharshaguttikonda - if you like this GPT! Can you buy me a coffee? these nightshifts are killing me!,Dr. Sri Harsha Guthikonda,4.8,90+,10K+,Writing,Web Search,https://chatgpt.com/g/g-89wC3dyCJ-oet-writing-coach
High Quality Story Writing Type Third Person,"Write stories with a heavy focus on emotions, dialog and sensations",community builder,4.6,70+,10K+,Writing,DALL·E Images,https://chatgpt.com/g/g-6fxa24hQs-high-quality-story-writing-type-third-person
Academic Writing Assistant,An assistant for academic paper writing and formatting.,community builder,4.1,100+,10K+,,"Web Search, DALL·E Images",https://chatgpt.com/g/g-PATOLRHto-academic-writing-assistant
Writing Feedback Pro,"Adaptive, supportive assistant for personalized writing feedback.",Jeremy Caplan,4.5,100+,10K+,Writing,"Web Search, DALL·E Images",https://chatgpt.com/g/g-HKCy2OyzV-writing-feedback-pro
Academic Writing Helper,"Assist in academic paper writing, following IEEE style.",whose.cat,4.2,200+,10K+,,"Code Interpreter & Data Analysis, DALL·E Images, Web Search",https://chatgpt.com/g/g-6aamfApM4-academic-writing-helper
Copy Writing Ai,"A cutting-edge AI designed for copywriting, adept at crafting persuasive, SEO-friendly content, efficient in various styles and tones, ideal for marketing, blogs, and social media. Creative, user-friendly, and time-saving.",community builder,4.4,100+,10K+,,,https://chatgpt.com/g/g-J7O7qsx9p-copy-writing-ai
Army Writing Assistant,"Guide for OERs, NCOERs, awards, and memorandums in Army writing style.",Preston Dihle,4.6,100+,10K+,Writing,,https://chatgpt.com/g/g-CMHnfp9Ql-army-writing-assistant
Research Paper Generator,Expert assistant for writing academic research papers.,studyx.ai,4.1,70+,10K+,,"Web Search, Code Interpreter & Data Analysis, DALL·E Images",https://chatgpt.com/g/g-GmyDFzpNC-research-paper-generator
Research Assistant,An academic assistant helping you understand the latest papers and perform optimized paper research.,Valentina Gualtieri,4.1,90+,10K+,,"Code Interpreter & Data Analysis, DALL·E Images, Web Search",https://chatgpt.com/g/g-xJPJGgLvv-research-assistant
Deep Learning,"🔵 The most advanced, sophisticated, intelligent, and complete Deep Learning expert.",Widenex,4.4,200+,10K+,Programming,,https://chatgpt.com/g/g-sHR6AdNlS-deep-learning
Japanese Language Learning Helper & Tutor,Get help learning the Japanese language through targeted tutoring!,John J Forsman,4.5,100+,10K+,Education,,https://chatgpt.com/g/g-2X3MmVlq9-japanese-language-learning-helper-tutor
The Somali Language and Learning GPT,Versatile GPT showcasing a range of capabilities for Somali language learning with interactive exercises.,Osman Mohamed,3.9,8,10K+,Education,Web Search,https://chatgpt.com/g/g-bwioPZ8CL-the-somali-language-and-learning-gpt
Interior Designer,"Meet your AI Interior Designer. I will help you redesign and improve any place in your house, providing you with numerous design ideas. Then I will generate images so you can visualize my different recommendations.",Spaces,3.3,300+,10K+,Lifestyle,"DALL·E Images, Web Search",https://chatgpt.com/g/g-TgbPCmOBR-interior-designer
Graphic Design AI Bot,"WE AND THE COLOR's AI Bot is your personal graphic designer offering expert tips on typography, color palettes, branding, UX/UI, and social media design. Get creative ideas, trend insights, and generate custom image prompts for logos, posters, and more.",Dirk Petzold,3.8,200+,10K+,DALL·E,"DALL·E Images, Web Search, Canvas, Code Interpreter & Data Analysis, 4o Image Generation",https://chatgpt.com/g/g-6807737782308191b3ce3411b6b88e61-graphic-design-ai-bot
Design Social Media Posts,"AI social media post designer for Instagram and Facebook. Create full-editable designs for Instagram and Facebook in a single click. Customize your brand, colors, fonts, and logos and publish directly to your social media accounts.",galil.ai,3.3,200+,10K+,Productivity,"Actions
Retrieves or takes actions outside of ChatGPT, Retrieves or takes actions outside of ChatGPT, Web Search",https://chatgpt.com/g/g-L3dQcRjva-design-social-media-posts
Visual Design GPT ✅ ❌,"A resource for visual designers, ""Principles and Pitfalls"" details how to make impactful visual designs and avoid missteps.",Jason Csizmadi,3.7,100+,10K+,,"DALL·E Images, Code Interpreter & Data Analysis, Web Search",https://chatgpt.com/g/g-0u2hbZmnm-visual-design-gpt
Tik SEO Tok Video titles and #hashtags,"Review and Refine: After I provide you with a suggested title and up to five targeted hashtags, you have the opportunity to review them. If they don’t quite meet your expectations or fit your video perfectly, you can tell me what adjustments you need.",yeparesearch.com,4.3,100+,10K+,Research & Analysis,"Actions
Retrieves or takes actions outside of ChatGPT, Retrieves or takes actions outside of ChatGPT, Web Search, DALL·E Images",https://chatgpt.com/g/g-WM96saDn3-tik-seo-tok-video-titles-and-hashtags
